x [mm],y [mm],z [mm],B [T]
2,0,2,-0.792
2,2,2,-0.965
2,4,2,-0.965
2,6,2,-0.964
2,8,2,-0.967
2,10,2,-0.928
2,12,2,-0.996
4,0,2,-1.012
4,2,2,-0.961
4,4,2,-0.434
4,6,2,-0.0447
4,8,2,-0.023
4,10,2,-0.0217
4,12,2,-0.01959
6,0,2,-0.02599
6,2,2,-0.02711
6,4,2,-0.028
6,6,2,-0.02804
6,8,2,-0.02716
6,10,2,-0.02543
6,12,2,-0.02298
8,0,2,-0.0306
8,2,2,-0.0324
8,4,2,-0.0336
8,6,2,-0.0336
8,8,2,-0.0336
8,10,2,-0.0304
8,12,2,-0.0272
10,0,2,-0.0306
10,2,2,-0.0324
10,4,2,-0.0336
10,6,2,-0.0336
10,8,2,-0.0325
10,10,2,-0.0304
10,12,2,-0.0272
12,0,2,-0.0433
12,2,2,-0.0466
12,4,2,-0.0489
12,6,2,-0.0492
12,8,2,-0.0474
12,10,2,-0.0436
12,12,2,-0.0382
14,0,2,-0.0523
14,2,2,-0.0565
14,4,2,-0.0598
14,6,2,-0.0603
14,8,2,-0.0579
14,10,2,-0.0529
14,12,2,-0.0457
16,0,2,-0.0634
16,2,2,-0.0694
16,4,2,-0.0741
16,6,2,-0.0749
16,8,2,-0.0718
16,10,2,-0.0649
16,12,2,-0.055
18,0,2,-0.0649
18,2,2,-0.0694
18,4,2,-0.0741
18,6,2,-0.0749
18,8,2,-0.0749
18,10,2,-0.0652
18,12,2,-0.055
20,0,2,-0.0947
20,2,2,-0.1078
20,4,2,-0.1177
20,6,2,-0.1199
20,8,2,-0.1139
20,10,2,-0.1006
20,12,2,-0.0812
22,0,2,-0.1194
22,2,2,-0.1373
22,4,2,-0.1518
22,6,2,-0.1549
22,8,2,-0.1467
22,10,2,-0.1279
22,12,2,-0.1001
24,0,2,-0.1462
24,2,2,-0.1785
24,4,2,-0.199
24,6,2,-0.2031
24,8,2,-0.1919
24,10,2,-0.1659
24,12,2,-0.1256
26,0,2,-0.1479
26,2,2,-0.1785
26,4,2,-0.199
26,6,2,-0.2031
26,8,2,-0.1919
26,10,2,-0.166
26,12,2,-0.1256
28,0,2,-0.272
28,2,2,-0.337
28,4,2,-0.358
28,6,2,-0.355
28,8,2,-0.339
28,10,2,-0.304
28,12,2,-0.233
30,0,2,-0.477
30,2,2,-0.491
30,4,2,-0.475
30,6,2,-0.457
30,8,2,-0.441
30,10,2,-0.423
30,12,2,-0.386
32,0,2,-0.476
32,2,2,-0.491
